row_id,file,cond,question,gold,model_answer,label_exactmatch,label_judge,YOUR_label (correct/hallucination/abstain)
16,squad_bm25_mistral_7b_instruct_v0_3,mixed,How many were in Langlades expedition?,"300 men, including French-Canadians and warriors of the Ottawa","Unknown (According to the passage, the answer given in a 2021 correction is incorrect, but",abstain,abstain,
17,squad_bm25_mistral_7b_instruct_v0_3,closedbook,What did the sparks do to the insulation?,destroy,The passages do not provide information about what the sparks did to the insulation.,hallucination,abstain,
18,squad_bm25_mistral_7b_instruct_v0_3,contra_only,Who else observed that Luther view of souls was different form later views?,Gerhard. Lessing,"Manning, not Gerhard Lessing.",correct,hallucination,
19,squad_bm25_mistral_7b_instruct_v0_3,contra_only,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"Unknown (according to the provided passage, it was not CBS)",abstain,hallucination,
20,squad_bm25_qwen2_5_7b_instruct,contra_only,What is gravitational acceleration proportional to?,mass,unknown,abstain,hallucination,
21,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,What did the sparks do to the insulation?,destroy,The sparks destroyed the insulation.,correct,correct,
22,squad_bm25_qwen2_5_7b_instruct,mixed,In what type of work was Luther prolific?,authoring hymns,hymn-writer,hallucination,correct,
23,squad_bm25_qwen2_5_7b_instruct,irr100,What characteristic of oxygen causes it to form bonds with other elements?,electronegativity,unknown,abstain,hallucination,
24,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,Who designed Salamanca?,Matthew Murray,"Unknown (According to the passages, it's not specified who designed the locomotive Salamanca",abstain,hallucination,
25,squad_bm25_qwen2_5_7b_instruct,irr50,What do photocytes produce?,bioluminescence,unknown,abstain,hallucination,
26,squad_bm25_qwen2_5_7b_instruct,mixed,Where might a teacher teach that is not inside a building?,outdoors,anticlines and synclines,hallucination,hallucination,
27,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,When did the Meuse and Waal merge?,1421 to 1904,"The Meuse and Waal merged in 1421, not in 1904 as previously thought",hallucination,hallucination,
28,natural_dense_qwen2_5_7b_instruct,retrieved,How recently has the homes in Fresno been restored?,in recent decades,recently,hallucination,correct,
29,natural_dense_qwen2_5_7b_instruct,retrieved,What type of approaches for primary school are available that are different than the norm?,alternative,"One alternative approach mentioned is the ""platoon"" system.",correct,hallucination,
30,squad_bm25_mistral_7b_instruct_v0_3,mixed,"Peroxides, nitrates and dichromates are examples of what type of compounds?",compounds of oxygen with a high oxidative,"Peroxides, nitrates, and dichromates are examples of compounds with high oxidative potential.",hallucination,correct,
31,natural_bm25_qwen2_5_7b_instruct,retrieved,Which genus lack tentacles and sheaths?,Beroe,Beroe,correct,correct,
32,natural_dense_qwen2_5_7b_instruct,retrieved,Who has the authority of a pastor only within the context and during the time of the appointment?,licensed local pastor,Local Pastor,correct,hallucination,
33,squad_bm25_mistral_7b_instruct_v0_3,poison,What kind of self-consistent models are physicists trying to make that would create a theory of everything?,unification,"Physicists are trying to create self-consistent models that would form a Theory of Everything, but the passages",hallucination,abstain,
34,natural_bm25_qwen2_5_7b_instruct,retrieved,At what time is the Harvard-Yale rivalry set aside?,every two years when the Harvard and Yale Track and Field teams come together to compete against a combined Oxford University and Cambridge University team,every two years,correct,hallucination,
35,squad_bm25_qwen2_5_7b_instruct,irr50,What are the agents the immune system detects known as?,pathogens,unknown,abstain,hallucination,
36,squad_bm25_mistral_7b_instruct_v0_3,mixed,Many liturgies are derived from what book?,Book of Common Prayer,"The question ""Many liturgies are derived from what book?"" is incorrect according to the provided passage. The passage states",hallucination,abstain,
37,squad_bm25_mistral_7b_instruct_v0_3,irr50,What type of rock is found at the Grand Canyon?,sedimentary rocks,Sedimentary rock,correct,correct,
38,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,What is the term for closing off rivers that are no longer connected?,dammed,"Dammed (However, according to the 2021 correction, the correct answer is unknown as per the provided",abstain,correct,
39,natural_bm25_qwen2_5_7b_instruct,retrieved,What is the population of the second largest city in California?,1.3 million,"1,307,402",hallucination,correct,
40,squad_bm25_mistral_7b_instruct_v0_3,irr100,Who officially opened the V&A?,Queen Victoria,The passage does not provide information about who officially opened the V&A (Victoria and Albert Museum).,hallucination,abstain,
41,natural_dense_qwen2_5_7b_instruct,retrieved,What is often misunderstood as the cause of matter rigidity?,repulsion of like charges,electrical repulsion,hallucination,correct,
42,squad_bm25_mistral_7b_instruct_v0_3,mixed,What was the trend of female student population from 1970s and deyond?,"the proportion of female undergraduates steadily increased, mirroring a trend throughout higher education in the United States","The trend of female student population from the 1970s and beyond was an increase, mirroring a",hallucination,correct,
43,squad_bm25_qwen2_5_7b_instruct,closedbook,Who officially opened the V&A?,Queen Victoria,unknown,abstain,abstain,
44,squad_bm25_mistral_7b_instruct_v0_3,irr100,Who has composed the Doctor Who incidental music since 2005?,Murray Gold and Ben Foster,Unknown (The passages do not contain information about Doctor Who's incidental music composer since 200,abstain,abstain,
45,squad_bm25_qwen2_5_7b_instruct,irr100,When is Sky going to introduce UHD broadcasts?,2016,unknown,abstain,hallucination,
46,squad_bm25_qwen2_5_7b_instruct,poison,What characteristic of oxygen causes it to form bonds with other elements?,electronegativity,unknown,abstain,hallucination,
47,squad_bm25_mistral_7b_instruct_v0_3,mixed,When was Luther's last sermon?,15 February 1546,15 February 1546,correct,correct,
48,squad_bm25_mistral_7b_instruct_v0_3,irr100,When did oil start getting priced in the terms of gold?,In September 1971,The passages do not provide information about when oil started getting priced in terms of gold.,hallucination,abstain,
49,squad_bm25_mistral_7b_instruct_v0_3,poison,The Cast Courts display plaster casts of what objects?,"sculptures, friezes and tombs","Plaster casts of various sculptures, friezes, and tombs. (However, the passage states that",correct,correct,
50,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,"If the tops of the rock units within the folds remain pointing upwards, they are called what? ",anticlines and synclines,Anticlines,correct,hallucination,
51,squad_bm25_mistral_7b_instruct_v0_3,closedbook,"Why did Warsaw gain the title of the ""Phoenix City""?","survived many wars, conflicts and invasions","The passages provided do not contain information about Warsaw being called the ""Phoenix City."" This nickname",hallucination,abstain,
52,squad_bm25_qwen2_5_7b_instruct,contra_only,Where was New Year's Rockin' Eve hosted?,Times Square,dummy upper stages filled with water,hallucination,hallucination,
53,squad_bm25_mistral_7b_instruct_v0_3,contra_only,How often do Parliament elections take place?,every five years,Unknown (not mentioned in the provided passages),abstain,abstain,
54,squad_bm25_mistral_7b_instruct_v0_3,contra_only,In what venue did the NFL Experience take place?,Moscone Center,"Unknown (according to the provided passage, the NFL Experience did not take place at the Moscone Center)",abstain,hallucination,
55,squad_bm25_qwen2_5_7b_instruct,mixed,What was the civil war against Ragibagh also called?,the War of the Two Capitals,the War of the Two Capitals,correct,correct,
56,squad_bm25_mistral_7b_instruct_v0_3,clean,What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium,correct,correct,
57,squad_bm25_qwen2_5_7b_instruct,irr50,What does the CPI scale measure?,gauge the prevalence of public sector corruption in various countries,unknown,abstain,abstain,
58,squad_bm25_qwen2_5_7b_instruct,contra_r1,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,Florida legislature,correct,correct,
59,squad_bm25_qwen2_5_7b_instruct,contra_only,What is the effect of testosterone on the male immune system?,immunosuppressive,not immunosuppressive,correct,hallucination,
60,squad_bm25_mistral_7b_instruct_v0_3,irr100,"In what year did ""The Eleventh Hour"" play?",2010,"Unknown (The passage does not contain information about the movie ""The Eleventh Hour"").",abstain,abstain,
61,natural_dense_qwen2_5_7b_instruct,closedbook,"In the layered model of the Earth, the outermost layer is what? ",crust,unknown,abstain,abstain,
62,squad_bm25_mistral_7b_instruct_v0_3,contra_only,The title of the digitization project was a reference to which artist?,Andy Warhol,"Unknown (according to the provided passages, there is no information about a digitization project referencing an artist",abstain,abstain,
63,natural_dense_qwen2_5_7b_instruct,closedbook,Most antibiotics target bacteria and don't affect what class of organisms?,fungi,unknown,abstain,abstain,
64,squad_bm25_mistral_7b_instruct_v0_3,clean,"In what year did ""The Eleventh Hour"" play?",2010,"The passage does not provide the exact year when ""The Eleventh Hour"" played. However, it is known",hallucination,abstain,
65,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,How long since it's been that geoglyphs were first discovered on deforested land?,1970s,The geoglyphs were first discovered on deforested land in 1977.,hallucination,correct,
66,squad_bm25_qwen2_5_7b_instruct,irr100,What stadium did Super Bowl 50 take place in?,Levi's Stadium,unknown,abstain,abstain,
67,squad_bm25_mistral_7b_instruct_v0_3,mixed,What were the first two stations to carry ABC's programming?,WABC-TV and WPVI-TV,Satyagraha (unknown in the provided passages),abstain,hallucination,
68,squad_bm25_mistral_7b_instruct_v0_3,poison,Who is the archenemy of Doctor Who?,The Master,"Unknown (Tesla and/or Edison had refused the prize, not Doctor Who).",abstain,hallucination,
69,squad_bm25_mistral_7b_instruct_v0_3,irr100,How many were in Langlades expedition?,"300 men, including French-Canadians and warriors of the Ottawa","The passages do not contain information about the number of people in the Langlades expedition. Therefore, the answer is",hallucination,abstain,
70,squad_bm25_qwen2_5_7b_instruct,clean,When did France begin in earnest to rebuild its global empire?,1850,1850,correct,correct,
71,squad_bm25_qwen2_5_7b_instruct,contra_r1,Who published Tesla's writings?,magazines and journals,unknown,abstain,hallucination,
72,squad_bm25_qwen2_5_7b_instruct,clean,What time do the MSPs normally decide on the motions and amendments from that day?,5 pm,5 pm,correct,correct,
73,squad_bm25_mistral_7b_instruct_v0_3,irr50,Whose pass to Jerricho Cotchery was ruled incomplete?,Cam Newton,The passage does not provide information about a pass to Jerricho Cotchery.,hallucination,abstain,
74,squad_bm25_mistral_7b_instruct_v0_3,mixed,"Under normal conditions, T cells and antibodies produce what kind of peptides?","""self"" peptides","Unknown (According to the provided passages, T cells and antibodies do not produce peptides under",abstain,hallucination,
75,natural_bm25_qwen2_5_7b_instruct,retrieved,When was John Gallagher born?,1919,unknown,abstain,abstain,
76,squad_bm25_qwen2_5_7b_instruct,clean,What are Apicomplexans similar to?,helicosproidia,unknown,abstain,hallucination,
77,squad_bm25_mistral_7b_instruct_v0_3,irr50,In what venue did the NFL Experience take place?,Moscone Center,"The NFL Experience took place at Levi's Stadium, as it was the venue for the Super Bowl awarded to the",hallucination,hallucination,
78,squad_bm25_mistral_7b_instruct_v0_3,closedbook,What kind of self-consistent models are physicists trying to make that would create a theory of everything?,unification,"Physicists are trying to create quantum field theories, specifically a theory of quantum gravity, to form a self-cons",hallucination,hallucination,
79,squad_bm25_mistral_7b_instruct_v0_3,clean,At what time is the Harvard-Yale rivalry set aside?,every two years when the Harvard and Yale Track and Field teams come together to compete against a combined Oxford University and Cambridge University team,Every two years.,correct,hallucination,
80,squad_bm25_qwen2_5_7b_instruct,contra_only,What encouraged trade under the Yuan?,The political unity of China and much of central Asia,The political unity of China and much of central Asia.,correct,correct,
81,squad_bm25_mistral_7b_instruct_v0_3,closedbook,What was the Fresno Fairgrounds used as?,an assembly center,The Fresno Fairgrounds was used as a fairground and event venue. (Passage 1),hallucination,hallucination,
82,squad_bm25_mistral_7b_instruct_v0_3,irr100,What new product did Bank of America introduce in 1958?,BankAmericard,Unknown (The passages do not contain information about Bank of America introducing a new product in 1958,abstain,abstain,
83,squad_bm25_mistral_7b_instruct_v0_3,poison,What day did the Apollo 11 crew return to Earth?,July 24,July 24 (The given passage states that Super Bowl XLV is not the day the Apollo,correct,hallucination,
84,squad_bm25_mistral_7b_instruct_v0_3,poison,The title of the digitization project was a reference to which artist?,Andy Warhol,Unknown (not mentioned in the provided passages),abstain,abstain,
85,squad_bm25_mistral_7b_instruct_v0_3,poison,What astronomer worked for Kublai?,Guo Shoujing,Unknown (based on the provided passages),abstain,abstain,
86,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,What rule did some native live under?,"Iroquois rule, and were limited by them in authority to make agreements","According to the passages, some natives lived under Iroquois rule. However, a 202",hallucination,correct,
87,natural_dense_qwen2_5_7b_instruct,retrieved,"In the layered model of the Earth, the outermost layer is what? ",crust,crust and lithosphere,correct,hallucination,
88,squad_bm25_mistral_7b_instruct_v0_3,poison,What property of the harmonic series 1 + 1/2 + 1/3 + 1/4 + ... shows that there is an infinite number of primes?,diverges,The passages do not provide information about the property of the harmonic series that shows there is an infinite number of pr,hallucination,abstain,
89,squad_bm25_mistral_7b_instruct_v0_3,clean,What was the protest in Antigone about?,giving her brother Polynices a proper burial,The protest in Antigone was about defying a law that forbade her from giving her brother Polynices,hallucination,correct,
90,natural_bm25_qwen2_5_7b_instruct,retrieved,What shape are some of the buildings in the Parliament complex?,leaf-shaped,leaf-shaped,correct,correct,
91,squad_bm25_mistral_7b_instruct_v0_3,clean,What is another plague thought to have spread the same way?,the Justinian plague that was prevalent in the Eastern Roman Empire from 541 to 700 CE.,"The Justinian plague, which was prevalent in the Eastern Roman Empire from 541 to 70",hallucination,correct,
92,squad_bm25_qwen2_5_7b_instruct,contra_only,What happened to the rate of flow in the Rhine during the Rhine straightening program?,increased,The passages do not provide information about the rate of flow in the Rhine during the Rhine straightening program. The,hallucination,abstain,
93,squad_bm25_mistral_7b_instruct_v0_3,closedbook,For which TV season did color first become a dominant format?,1965–66 season,"The passages do not provide specific information about the TV season when color became a dominant format. However, it's",hallucination,abstain,
94,squad_bm25_qwen2_5_7b_instruct,clean,What did Tesla patent in 1891?,the Tesla coil.,Tesla patented the Tesla coil in 1891.,correct,correct,
95,squad_bm25_qwen2_5_7b_instruct,clean,What type of opportunities would be expected from these counties?,Excellent job opportunities,"Excellent job opportunities for teachers, especially in hard-to-fill positions.",correct,hallucination,
96,squad_bm25_mistral_7b_instruct_v0_3,contra_only,After WW-II where did Russia apply its old Tsarist regimes?,Eastern Europe,"Unknown (according to the provided passage, Russia did not apply its old Tsarist regimes after WW",abstain,hallucination,
97,squad_bm25_mistral_7b_instruct_v0_3,mixed,What encouraged trade under the Yuan?,The political unity of China and much of central Asia,The political unity of China and much of central Asia promoted trade between East and West.,correct,correct,
98,squad_bm25_mistral_7b_instruct_v0_3,clean,Why is using O2 instead of CO2 less efficient?,"it consumes ATP and oxygen, releases CO2, and produces no sugar",Using O2 instead of CO2 in photosynthesis is less efficient because the enzyme Rubisco (R,hallucination,hallucination,
99,squad_bm25_qwen2_5_7b_instruct,irr100,Whose pass to Jerricho Cotchery was ruled incomplete?,Cam Newton,unknown,abstain,hallucination,
100,natural_dense_qwen2_5_7b_instruct,closedbook,What did the sparks do to the insulation?,destroy,unknown,abstain,hallucination,
101,squad_bm25_qwen2_5_7b_instruct,irr50,How many people may have lived in the Amazon region during AD 1500?,5 million,unknown,abstain,abstain,
102,squad_bm25_qwen2_5_7b_instruct,closedbook,What type of approaches for primary school are available that are different than the norm?,alternative,unknown,abstain,hallucination,
103,squad_bm25_mistral_7b_instruct_v0_3,closedbook,Where might a teacher teach that is not inside a building?,outdoors,"A teacher might teach outside a building, such as in a park or a playground. (Answer: outside a",hallucination,correct,
104,natural_dense_qwen2_5_7b_instruct,retrieved,Which genus lack tentacles and sheaths?,Beroe,Beroe,correct,correct,
105,squad_bm25_qwen2_5_7b_instruct,poison,What type of rock is found at the Grand Canyon?,sedimentary rocks,unknown,abstain,hallucination,
106,squad_bm25_mistral_7b_instruct_v0_3,poison,What is the name of the law which imposed the speed limit?,Emergency Highway Energy Conservation Act,"Unknown (as per the provided passages, no information about a speed limit law is given)",abstain,abstain,
107,squad_bm25_qwen2_5_7b_instruct,contra_only,What is the largest medical school in Poland?,Medical University of Warsaw,Every two years when the Harvard and Yale Track and Field teams come together to compete against a combined Oxford University and Cambridge University,hallucination,hallucination,
